latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.572933,-120.53055,325.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-01-01,7.4,19.2,106
2010-01-02,6.7,17.4,190
2010-01-03,4.1,9.6,19
2010-01-04,4.0,17.9,37
2010-01-05,4.0,9.6,36
2010-01-06,10.1,22.6,10
2010-01-07,5.4,13.2,14
2010-01-08,4.7,16.6,25
2010-01-09,4.3,10.3,36
2010-01-10,4.2,9.4,23
2010-01-11,4.7,9.8,24
2010-01-12,7.1,13.0,98
2010-01-13,9.6,24.8,127
2010-01-14,7.6,19.5,158
2010-01-15,13.3,28.2,152
2010-01-16,4.7,10.7,23
2010-01-17,6.5,11.6,46
2010-01-18,5.6,15.0,46
2010-01-19,7.7,15.9,42
2010-01-20,6.7,18.1,32
2010-01-21,5.7,12.8,14
2010-01-22,5.9,13.2,324
2010-01-23,5.4,13.0,294
2010-01-24,4.2,10.3,13
2010-01-25,4.0,8.9,42
2010-01-26,4.4,10.1,347
2010-01-27,4.0,9.6,18
2010-01-28,5.2,10.1,40
2010-01-29,4.1,9.4,9
2010-01-30,3.2,6.9,330
2010-01-31,3.8,9.8,282
2010-02-01,4.3,9.6,22
2010-02-02,4.7,8.5,43
2010-02-03,4.0,9.8,33
2010-02-04,6.0,14.5,32
2010-02-05,4.8,10.7,22
2010-02-06,9.0,20.8,4
2010-02-07,4.1,8.3,355
2010-02-08,3.8,8.5,30
2010-02-09,4.1,8.3,333
2010-02-10,4.0,10.5,82
2010-02-11,5.3,11.9,76
2010-02-12,8.8,19.5,159
2010-02-13,6.4,13.2,86
2010-02-14,4.7,10.7,15
2010-02-15,4.9,11.0,15
2010-02-16,4.6,11.6,36
2010-02-17,7.5,15.7,357
2010-02-18,6.5,16.1,355
2010-02-19,7.0,17.2,354
2010-02-20,7.2,17.4,359
2010-02-21,4.2,10.3,339
2010-02-22,5.5,14.3,89
2010-02-23,4.3,10.5,31
2010-02-24,10.1,24.6,233
2010-02-25,7.8,18.6,206
2010-02-26,5.1,15.2,23
2010-02-27,5.6,15.0,249
2010-02-28,6.1,10.1,21
2010-03-01,5.3,12.5,6
2010-03-02,5.0,16.6,23
2010-03-03,6.0,13.2,299
2010-03-04,5.6,12.3,300
2010-03-05,5.5,12.1,341
2010-03-06,5.6,12.5,354
2010-03-07,6.1,13.6,282
2010-03-08,11.1,25.5,295
2010-03-09,6.5,13.9,223
2010-03-10,5.8,13.0,141
2010-03-11,13.0,29.3,168
2010-03-12,16.1,38.7,194
2010-03-13,7.5,19.0,266
2010-03-14,5.1,12.3,35
2010-03-15,5.7,13.9,10
2010-03-16,15.2,33.1,269
2010-03-17,9.1,19.5,291
2010-03-18,6.1,14.5,335
2010-03-19,5.6,15.2,12
2010-03-20,5.4,12.3,50
2010-03-21,12.0,30.0,219
2010-03-22,9.5,19.9,293
2010-03-23,6.0,13.0,322
2010-03-24,6.5,16.3,14
2010-03-25,13.6,34.9,235
2010-03-26,10.6,24.2,260
2010-03-27,6.6,17.0,85
2010-03-28,14.1,32.7,208
2010-03-29,15.3,39.1,207
2010-03-30,11.7,28.2,225
2010-03-31,7.4,14.8,261
2010-04-01,9.1,20.4,258
2010-04-02,15.6,41.2,178
2010-04-03,13.8,31.3,221
2010-04-04,12.0,25.1,123
2010-04-05,12.5,30.2,213
2010-04-06,13.4,32.7,250
2010-04-07,5.1,17.2,178
2010-04-08,18.4,43.6,252
2010-04-09,9.0,19.9,262
2010-04-10,13.5,30.4,22
2010-04-11,9.7,21.3,3
2010-04-12,11.2,24.4,345
2010-04-13,8.5,20.4,288
2010-04-14,5.4,11.4,329
2010-04-15,7.4,17.7,307
2010-04-16,9.8,25.3,315
2010-04-17,9.4,21.5,258
2010-04-18,5.3,13.9,350
2010-04-19,7.9,19.5,338
2010-04-20,12.2,27.3,304
2010-04-21,14.1,31.5,301
2010-04-22,13.1,32.2,311
2010-04-23,11.3,27.7,234
2010-04-24,12.6,30.2,256
2010-04-25,6.0,13.4,186
2010-04-26,7.1,17.2,20
2010-04-27,12.5,30.4,231
2010-04-28,15.0,31.5,264
2010-04-29,15.1,31.8,289
2010-04-30,13.2,30.2,293
2010-05-01,19.1,40.9,292
2010-05-02,10.8,24.8,252
2010-05-03,22.4,51.0,252
2010-05-04,9.8,24.2,264
2010-05-05,12.2,28.9,309
2010-05-06,5.7,17.9,294
2010-05-07,5.4,17.0,3
2010-05-08,8.6,17.9,290
2010-05-09,4.8,12.1,304
2010-05-10,9.5,19.7,296
2010-05-11,15.4,32.7,313
2010-05-12,11.4,22.4,308
2010-05-13,6.5,17.9,251
2010-05-14,8.1,18.1,274
2010-05-15,10.2,19.7,258
2010-05-16,10.7,23.3,313
2010-05-17,8.5,21.3,330
2010-05-18,12.7,36.2,264
2010-05-19,13.8,34.9,205
2010-05-20,13.4,32.9,229
2010-05-21,5.8,20.6,254
2010-05-22,12.4,29.5,299
2010-05-23,7.2,18.1,265
2010-05-24,6.2,14.1,234
2010-05-25,6.7,17.4,178
2010-05-26,5.8,19.7,338
2010-05-27,10.1,26.6,279
2010-05-28,11.1,22.8,268
2010-05-29,9.8,22.4,280
2010-05-30,5.4,14.8,274
2010-05-31,11.0,23.7,250
2010-06-01,10.5,25.7,247
2010-06-02,13.7,31.3,195
2010-06-03,8.4,19.0,212
2010-06-04,9.9,23.3,288
2010-06-05,5.5,13.9,17
2010-06-06,6.4,20.8,313
2010-06-07,10.9,25.1,306
2010-06-08,5.5,20.4,19
2010-06-09,15.6,36.5,235
2010-06-10,12.4,28.6,276
2010-06-11,8.1,23.5,312
2010-06-12,5.2,14.1,332
2010-06-13,15.6,36.2,312
2010-06-14,15.5,34.7,315
2010-06-15,11.5,25.5,297
2010-06-16,9.7,22.6,295
2010-06-17,9.1,22.1,295
2010-06-18,6.4,17.9,28
2010-06-19,11.5,22.6,315
2010-06-20,10.7,22.8,305
2010-06-21,13.2,31.1,308
2010-06-22,6.2,17.0,185
2010-06-23,9.5,22.1,335
2010-06-24,11.1,26.2,315
2010-06-25,12.4,30.9,314
2010-06-26,9.7,22.8,315
2010-06-27,11.5,25.7,288
2010-06-28,13.0,28.9,260
2010-06-29,12.7,29.3,300
2010-06-30,6.8,19.0,327
2010-07-01,12.4,28.6,287
2010-07-02,11.6,28.0,288
2010-07-03,11.4,27.1,299
2010-07-04,14.8,32.0,307
2010-07-05,10.0,28.6,315
2010-07-06,6.5,16.6,6
2010-07-07,8.9,22.4,24
2010-07-08,5.9,15.4,1
2010-07-09,14.1,32.2,314
2010-07-10,13.6,33.8,309
2010-07-11,14.8,31.8,296
2010-07-12,12.9,27.5,291
2010-07-13,9.1,24.8,314
2010-07-14,6.5,18.6,199
