latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.32291,59.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-01-01,17.3,38.3,183
2010-01-02,15.1,33.6,192
2010-01-03,4.9,10.7,61
2010-01-04,8.1,22.1,97
2010-01-05,5.3,13.0,38
2010-01-06,7.1,16.3,52
2010-01-07,8.2,17.9,90
2010-01-08,8.7,20.8,105
2010-01-09,6.3,13.2,126
2010-01-10,8.3,20.1,115
2010-01-11,8.5,21.3,117
2010-01-12,11.6,23.7,148
2010-01-13,16.0,36.0,160
2010-01-14,15.7,34.0,171
2010-01-15,15.3,33.6,178
2010-01-16,5.4,11.4,48
2010-01-17,9.7,23.3,120
2010-01-18,16.3,37.1,134
2010-01-19,9.9,22.1,110
2010-01-20,7.4,16.1,94
2010-01-21,7.6,16.1,82
2010-01-22,6.7,14.8,116
2010-01-23,6.9,14.3,168
2010-01-24,9.3,18.1,104
2010-01-25,9.0,19.9,144
2010-01-26,4.7,8.3,128
2010-01-27,5.0,12.1,95
2010-01-28,6.0,13.0,91
2010-01-29,6.5,15.0,105
2010-01-30,4.5,8.7,146
2010-01-31,6.0,15.4,181
2010-02-01,5.2,10.7,121
2010-02-02,5.6,10.5,112
2010-02-03,5.6,13.0,92
2010-02-04,8.4,18.6,101
2010-02-05,7.3,14.3,122
2010-02-06,7.4,15.9,110
2010-02-07,4.3,8.9,136
2010-02-08,5.0,9.8,134
2010-02-09,4.3,9.8,49
2010-02-10,5.0,12.5,138
2010-02-11,12.1,29.3,144
2010-02-12,13.6,30.9,176
2010-02-13,10.6,23.9,128
2010-02-14,7.8,23.3,158
2010-02-15,6.2,22.8,102
2010-02-16,10.2,22.4,166
2010-02-17,10.3,22.4,16
2010-02-18,8.3,15.9,32
2010-02-19,6.9,14.5,41
2010-02-20,5.6,12.3,62
2010-02-21,6.2,11.9,62
2010-02-22,5.1,10.3,152
2010-02-23,4.9,10.3,134
2010-02-24,11.5,28.0,187
2010-02-25,10.0,21.3,180
2010-02-26,13.0,22.1,99
2010-02-27,9.0,24.2,174
2010-02-28,6.8,15.4,188
2010-03-01,5.2,11.2,127
2010-03-02,9.7,21.7,157
2010-03-03,5.7,14.5,29
2010-03-04,6.8,15.9,177
2010-03-05,8.5,19.7,31
2010-03-06,5.8,13.4,23
2010-03-07,9.7,22.1,194
2010-03-08,5.7,16.1,356
2010-03-09,7.9,17.9,177
2010-03-10,11.1,24.6,194
2010-03-11,13.1,29.5,182
2010-03-12,17.1,37.4,188
2010-03-13,11.5,25.3,194
2010-03-14,5.5,11.6,124
2010-03-15,6.7,13.9,65
2010-03-16,15.0,35.3,183
2010-03-17,10.0,22.1,201
2010-03-18,8.6,20.1,15
2010-03-19,9.0,18.3,20
2010-03-20,8.4,17.9,166
2010-03-21,11.4,30.6,201
2010-03-22,8.0,17.4,203
2010-03-23,6.2,14.5,360
2010-03-24,4.6,13.0,52
2010-03-25,14.2,28.4,190
2010-03-26,16.0,33.1,204
2010-03-27,6.3,14.3,123
2010-03-28,13.7,33.1,185
2010-03-29,18.6,54.6,191
2010-03-30,11.5,26.6,200
2010-03-31,7.5,15.7,197
2010-04-01,10.9,29.3,192
2010-04-02,20.1,49.4,177
2010-04-03,16.2,36.0,201
2010-04-04,12.5,27.3,124
2010-04-05,12.5,27.3,171
2010-04-06,13.2,28.6,205
2010-04-07,11.3,23.7,187
2010-04-08,15.7,35.6,223
2010-04-09,12.4,25.9,225
2010-04-10,10.7,25.1,21
2010-04-11,10.4,23.9,17
2010-04-12,5.7,12.8,38
2010-04-13,8.3,20.1,207
2010-04-14,7.9,18.3,358
2010-04-15,8.7,19.9,203
2010-04-16,5.9,14.8,30
2010-04-17,7.9,28.2,179
2010-04-18,5.4,13.4,100
2010-04-19,8.3,19.7,201
