latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.752193,-122.436554,23.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-01-01,11.7,28.0,139
2010-01-02,8.5,19.9,142
2010-01-03,5.3,11.4,59
2010-01-04,9.7,20.1,51
2010-01-05,11.9,23.5,45
2010-01-06,12.2,27.5,50
2010-01-07,7.8,16.3,50
2010-01-08,7.0,23.0,58
2010-01-09,4.3,10.1,75
2010-01-10,7.1,16.8,61
2010-01-11,8.8,20.4,78
2010-01-12,7.2,13.9,112
2010-01-13,7.4,15.7,66
2010-01-14,8.6,18.3,122
2010-01-15,13.0,31.8,153
2010-01-16,6.8,14.1,61
2010-01-17,7.4,15.7,67
2010-01-18,15.6,34.4,97
2010-01-19,9.7,20.8,55
2010-01-20,7.5,21.7,56
2010-01-21,7.9,15.4,58
2010-01-22,6.8,13.9,48
2010-01-23,5.2,8.7,104
2010-01-24,8.2,18.1,56
2010-01-25,7.9,29.8,66
2010-01-26,4.8,8.9,72
2010-01-27,3.8,8.1,55
2010-01-28,7.1,13.0,56
2010-01-29,5.7,11.9,46
2010-01-30,2.8,4.7,67
2010-01-31,3.0,7.6,106
2010-02-01,5.6,11.9,52
2010-02-02,4.9,16.3,55
2010-02-03,5.0,10.7,58
2010-02-04,7.0,14.5,56
2010-02-05,7.3,15.7,60
2010-02-06,7.1,14.3,58
2010-02-07,3.4,6.3,78
2010-02-08,3.9,7.6,40
2010-02-09,3.2,8.1,92
2010-02-10,5.1,10.1,64
2010-02-11,8.1,34.9,60
2010-02-12,10.0,24.8,123
2010-02-13,8.4,18.3,75
2010-02-14,7.3,17.2,144
2010-02-15,5.9,17.2,55
2010-02-16,7.1,27.1,137
2010-02-17,7.6,16.6,26
2010-02-18,8.3,19.2,44
2010-02-19,7.2,14.5,39
2010-02-20,6.5,13.0,43
2010-02-21,5.0,8.5,52
2010-02-22,3.7,7.8,62
2010-02-23,5.6,9.8,58
2010-02-24,5.5,17.7,123
2010-02-25,7.7,15.2,135
2010-02-26,8.8,20.6,50
2010-02-27,5.9,16.1,71
2010-02-28,5.4,8.9,126
2010-03-01,6.6,11.9,60
2010-03-02,6.4,17.7,90
2010-03-03,5.5,13.2,201
2010-03-04,5.0,13.4,134
2010-03-05,4.5,10.1,22
2010-03-06,3.2,7.4,38
2010-03-07,6.7,15.0,177
2010-03-08,5.0,14.1,212
2010-03-09,5.4,11.6,80
2010-03-10,8.5,24.4,123
2010-03-11,10.5,30.4,146
2010-03-12,7.1,21.5,87
2010-03-13,7.2,21.7,140
2010-03-14,6.8,13.2,47
2010-03-15,6.4,14.5,44
2010-03-16,12.5,30.6,139
2010-03-17,7.8,22.1,217
2010-03-18,6.2,14.8,350
2010-03-19,6.4,14.8,35
2010-03-20,6.0,10.7,74
2010-03-21,8.2,21.7,182
2010-03-22,6.6,18.3,181
2010-03-23,4.3,9.6,68
2010-03-24,4.8,9.4,44
2010-03-25,7.0,15.4,141
2010-03-26,8.1,23.0,187
2010-03-27,5.4,13.0,64
2010-03-28,11.2,25.9,157
2010-03-29,15.3,42.1,178
2010-03-30,8.1,19.2,175
2010-03-31,5.1,12.3,127
2010-04-01,7.4,23.7,146
2010-04-02,18.3,39.6,133
2010-04-03,16.8,38.5,192
2010-04-04,8.9,23.3,61
2010-04-05,5.8,21.5,136
2010-04-06,9.3,22.4,188
2010-04-07,8.6,19.7,145
2010-04-08,13.8,35.3,233
2010-04-09,11.1,25.5,221
2010-04-10,11.3,28.0,43
2010-04-11,8.5,20.4,50
2010-04-12,9.0,21.9,54
2010-04-13,4.3,13.2,174
2010-04-14,4.6,11.6,308
2010-04-15,7.2,19.0,240
2010-04-16,5.7,14.1,230
2010-04-17,4.7,21.7,93
2010-04-18,4.5,12.3,56
2010-04-19,6.9,15.2,80
2010-04-20,5.5,15.0,231
2010-04-21,6.3,12.3,198
2010-04-22,7.3,19.7,208
2010-04-23,6.1,17.0,196
2010-04-24,9.5,25.7,188
2010-04-25,6.2,11.2,97
2010-04-26,8.1,19.9,53
2010-04-27,9.4,21.9,171
2010-04-28,7.3,21.3,195
2010-04-29,7.4,18.8,214
2010-04-30,9.4,22.8,198
2010-05-01,9.3,23.5,209
2010-05-02,10.1,25.5,191
2010-05-03,15.3,39.8,216
2010-05-04,6.4,17.9,190
2010-05-05,5.4,17.0,206
2010-05-06,4.9,16.1,182
2010-05-07,4.8,13.2,32
2010-05-08,5.4,14.5,13
2010-05-09,4.4,13.2,101
2010-05-10,6.7,16.8,184
2010-05-11,8.1,17.4,184
2010-05-12,5.8,16.6,182
2010-05-13,5.3,15.2,234
2010-05-14,5.4,15.2,197
2010-05-15,6.6,16.1,187
2010-05-16,4.2,13.0,238
2010-05-17,5.6,16.6,193
2010-05-18,5.4,13.6,173
2010-05-19,11.1,31.3,117
2010-05-20,12.6,30.9,182
2010-05-21,6.0,15.2,188
2010-05-22,6.5,17.7,198
2010-05-23,7.4,18.8,174
2010-05-24,4.8,16.3,131
2010-05-25,5.2,16.3,70
2010-05-26,4.6,9.8,230
2010-05-27,6.8,16.1,228
2010-05-28,7.4,20.6,176
2010-05-29,9.2,20.8,170
2010-05-30,4.2,12.5,172
2010-05-31,5.3,16.3,111
2010-06-01,5.2,17.9,188
2010-06-02,9.8,23.9,170
2010-06-03,7.2,17.4,200
2010-06-04,6.2,18.8,196
2010-06-05,5.4,11.9,196
2010-06-06,4.3,13.6,103
2010-06-07,6.6,18.6,190
2010-06-08,5.8,13.0,260
2010-06-09,4.9,15.0,188
2010-06-10,6.3,13.9,190
2010-06-11,6.2,16.3,196
2010-06-12,4.9,13.2,244
2010-06-13,6.9,20.1,181
2010-06-14,7.5,19.9,193
2010-06-15,4.7,16.1,202
2010-06-16,6.4,15.2,196
2010-06-17,6.3,16.3,183
2010-06-18,5.5,14.5,309
2010-06-19,8.2,16.6,187
2010-06-20,6.9,16.6,195
2010-06-21,5.4,13.6,185
2010-06-22,4.5,11.2,295
2010-06-23,4.7,13.9,195
2010-06-24,5.9,18.8,179
2010-06-25,7.7,18.1,186
2010-06-26,6.0,17.0,191
2010-06-27,4.6,13.6,180
2010-06-28,4.5,9.2,192
2010-06-29,7.2,19.0,199
2010-06-30,5.8,14.5,203
2010-07-01,3.2,11.2,178
2010-07-02,7.2,17.9,230
2010-07-03,5.9,15.9,181
2010-07-04,8.1,20.1,185
2010-07-05,6.0,13.4,208
2010-07-06,5.4,12.5,338
2010-07-07,5.4,15.7,22
2010-07-08,4.7,10.5,73
2010-07-09,6.1,13.6,181
2010-07-10,6.4,15.7,186
2010-07-11,8.8,21.0,184
2010-07-12,10.2,26.8,195
2010-07-13,6.9,16.6,197
2010-07-14,5.8,13.6,217
2010-07-15,6.9,16.1,193
2010-07-16,7.6,17.0,198
