latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.51845,-122.63736,13.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-01-01,16.0,42.1,199
2010-01-02,11.7,29.3,191
2010-01-03,4.3,9.6,0
2010-01-04,7.7,25.3,179
2010-01-05,6.5,14.1,178
2010-01-06,8.0,18.1,32
2010-01-07,7.4,17.7,17
2010-01-08,5.9,28.0,6
2010-01-09,5.7,10.5,7
2010-01-10,5.0,10.1,8
2010-01-11,3.6,9.8,18
2010-01-12,14.1,32.4,164
2010-01-13,18.7,41.2,191
2010-01-14,7.8,17.7,177
2010-01-15,14.2,30.2,199
2010-01-16,8.2,17.2,166
2010-01-17,18.3,44.3,147
2010-01-18,22.0,47.9,131
2010-01-19,17.5,40.3,136
2010-01-20,6.9,17.4,44
2010-01-21,9.8,20.8,85
2010-01-22,6.8,13.9,227
2010-01-23,5.4,13.6,181
2010-01-24,6.1,25.7,94
2010-01-25,8.1,21.5,182
2010-01-26,4.3,12.1,318
2010-01-27,4.5,11.6,11
2010-01-28,4.6,12.5,14
2010-01-29,5.5,15.7,3
2010-01-30,3.8,7.2,2
2010-01-31,4.8,11.6,159
2010-02-01,4.7,8.5,54
2010-02-02,5.5,14.1,51
2010-02-03,8.2,21.0,141
2010-02-04,10.1,16.6,63
2010-02-05,6.9,15.0,119
2010-02-06,4.1,8.3,331
2010-02-07,3.4,11.2,228
2010-02-08,4.7,9.2,360
2010-02-09,4.9,10.7,333
2010-02-10,11.2,25.5,184
2010-02-11,15.2,38.5,176
2010-02-12,15.6,40.5,194
2010-02-13,6.0,13.6,121
2010-02-14,6.0,25.5,205
2010-02-15,7.6,19.0,88
2010-02-16,7.3,15.0,235
2010-02-17,9.4,19.0,12
2010-02-18,9.7,21.9,36
2010-02-19,9.5,23.5,30
2010-02-20,8.7,20.4,31
2010-02-21,6.3,16.6,28
2010-02-22,4.1,9.6,12
2010-02-23,4.1,6.5,7
2010-02-24,11.2,28.9,198
2010-02-25,8.1,20.6,174
2010-02-26,13.2,17.9,81
2010-02-27,12.4,27.3,207
2010-02-28,4.3,9.2,319
2010-03-01,3.6,9.6,337
2010-03-02,9.6,22.6,190
2010-03-03,5.9,15.2,267
2010-03-04,4.8,11.0,214
2010-03-05,7.6,18.3,4
2010-03-06,6.1,15.9,358
2010-03-07,7.9,18.8,233
2010-03-08,10.1,25.5,320
2010-03-09,13.2,31.1,181
2010-03-10,8.2,20.4,196
2010-03-11,15.9,44.1,186
2010-03-12,17.4,42.3,197
2010-03-13,10.0,22.1,191
2010-03-14,4.9,8.5,20
2010-03-15,5.9,16.8,9
2010-03-16,14.1,29.8,199
2010-03-17,9.5,21.9,358
2010-03-18,9.1,21.7,4
2010-03-19,10.3,23.9,21
2010-03-20,9.1,23.5,225
2010-03-21,10.6,33.3,211
2010-03-22,6.0,15.7,228
2010-03-23,6.3,17.0,1
2010-03-24,9.8,26.6,247
2010-03-25,18.8,42.1,191
2010-03-26,11.6,30.4,214
2010-03-27,7.9,18.6,148
2010-03-28,16.0,42.1,193
2010-03-29,20.5,57.0,208
2010-03-30,12.8,27.5,195
2010-03-31,7.8,21.0,206
2010-04-01,9.9,26.6,205
2010-04-02,16.5,45.9,202
2010-04-03,11.5,30.9,198
2010-04-04,10.5,26.8,142
2010-04-05,19.3,51.0,189
2010-04-06,10.3,28.0,225
2010-04-07,11.7,24.2,200
2010-04-08,14.4,34.7,253
2010-04-09,7.6,15.0,100
2010-04-10,11.3,25.5,21
2010-04-11,7.4,17.4,13
2010-04-12,6.7,19.0,338
2010-04-13,7.4,20.1,251
2010-04-14,7.7,17.7,329
2010-04-15,9.7,21.5,211
2010-04-16,6.8,20.1,255
2010-04-17,12.1,25.1,226
