latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-117.42999,520.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-01-01,19.2,32.4,182
2010-01-02,19.4,32.4,219
2010-01-03,5.9,10.5,108
2010-01-04,7.0,11.6,95
2010-01-05,5.5,7.8,253
2010-01-06,16.2,28.2,49
2010-01-07,10.6,19.2,59
2010-01-08,9.1,14.8,60
2010-01-09,5.9,10.5,90
2010-01-10,7.1,12.8,88
2010-01-11,10.0,15.2,122
2010-01-12,14.5,26.4,170
2010-01-13,16.1,28.2,161
2010-01-14,15.9,26.8,201
2010-01-15,18.3,28.6,178
2010-01-16,12.0,22.6,177
2010-01-17,12.4,20.1,113
2010-01-18,12.0,20.8,135
2010-01-19,9.3,16.8,98
2010-01-20,10.1,19.0,91
2010-01-21,9.9,17.0,76
2010-01-22,13.8,23.9,41
2010-01-23,6.0,8.9,141
2010-01-24,9.5,15.2,107
2010-01-25,8.9,14.3,113
2010-01-26,10.1,16.1,19
2010-01-27,6.2,10.5,53
2010-01-28,7.2,13.2,78
2010-01-29,6.4,13.0,47
2010-01-30,4.1,7.2,46
2010-01-31,10.1,17.7,238
2010-02-01,7.3,15.0,135
2010-02-02,7.4,13.0,156
2010-02-03,7.7,14.1,83
2010-02-04,9.8,16.8,99
2010-02-05,8.4,15.4,92
2010-02-06,10.2,19.5,49
2010-02-07,6.8,11.4,49
2010-02-08,5.5,10.5,58
2010-02-09,4.8,10.3,79
2010-02-10,9.1,18.1,184
2010-02-11,8.5,16.1,167
2010-02-12,14.9,26.6,205
2010-02-13,9.8,17.0,182
2010-02-14,8.7,15.2,139
2010-02-15,5.5,9.8,140
2010-02-16,10.4,18.8,182
2010-02-17,10.2,19.2,42
2010-02-18,8.5,16.6,38
2010-02-19,8.4,17.2,37
2010-02-20,12.9,23.3,49
2010-02-21,6.8,11.9,36
2010-02-22,7.4,16.1,198
2010-02-23,8.4,16.6,111
2010-02-24,14.0,24.8,211
2010-02-25,12.8,24.4,209
2010-02-26,11.6,20.1,107
2010-02-27,9.7,18.6,201
2010-02-28,5.7,12.5,196
2010-03-01,9.0,18.1,84
2010-03-02,9.0,17.9,118
2010-03-03,7.6,17.2,148
2010-03-04,6.7,11.6,193
2010-03-05,5.7,9.6,82
2010-03-06,6.0,12.5,46
2010-03-07,10.0,19.5,179
2010-03-08,13.7,26.6,224
2010-03-09,10.1,21.7,212
2010-03-10,7.4,13.6,177
2010-03-11,19.5,32.7,167
2010-03-12,20.4,33.1,185
2010-03-13,16.4,25.9,235
2010-03-14,5.9,11.9,103
2010-03-15,6.9,14.1,86
2010-03-16,17.0,25.5,172
2010-03-17,16.0,27.7,233
2010-03-18,11.8,22.6,316
2010-03-19,7.9,15.2,45
2010-03-20,8.9,18.3,143
2010-03-21,16.2,29.5,216
2010-03-22,13.8,24.4,238
2010-03-23,8.7,18.1,202
2010-03-24,8.9,18.1,84
2010-03-25,18.3,33.1,193
2010-03-26,19.2,35.3,229
2010-03-27,9.3,17.9,171
2010-03-28,22.0,41.4,188
2010-03-29,27.1,54.4,211
2010-03-30,18.3,31.3,224
2010-03-31,12.2,21.0,205
2010-04-01,12.2,23.7,212
2010-04-02,18.3,32.7,171
2010-04-03,23.4,39.6,222
2010-04-04,13.9,27.1,144
2010-04-05,13.3,25.1,188
2010-04-06,17.0,31.8,224
2010-04-07,14.1,25.5,200
2010-04-08,30.3,53.2,249
2010-04-09,20.8,36.9,240
2010-04-10,14.1,26.4,51
